u v
8.136272545090179609e-01 8.393416014969881656e-02
8.134096096241393292e-01 8.416833667334668034e-02
8.116232464929858947e-01 8.608829163650838501e-02
8.115451154238357834e-01 8.617234468937874647e-02
8.096830487128312548e-01 8.817635270541079873e-02
8.096192384769538286e-01 8.824508097644104265e-02
8.078241743164300548e-01 9.018036072144287874e-02
8.076152304609217625e-01 9.040537750427626862e-02
8.059648829374959078e-01 9.218436873747494487e-02
8.056112224448896963e-01 9.256518162886075152e-02
8.041051764827267245e-01 9.418837675350701100e-02
8.036072144288575192e-01 9.472449510243019510e-02
8.022450568722283570e-01 9.619238476953906325e-02
8.016032064128255641e-01 9.688331968037036668e-02
8.003845260398514405e-01 9.819639278557112938e-02
7.995991983967934980e-01 9.904165712136135669e-02
7.985235859335353403e-01 1.002004008016031955e-01
7.975951903807614318e-01 1.011995091875264319e-01
7.966622385156623132e-01 1.022044088176352616e-01
7.955911823647293657e-01 1.033568776445836224e-01
7.948004857634192177e-01 1.042084168336673278e-01
7.935871743486972996e-01 1.055137642620000288e-01
7.929383296691679961e-01 1.062124248496993939e-01
7.915831663326653445e-01 1.076701708131507229e-01
7.910757722408254811e-01 1.082164328657314600e-01
7.895791583166331673e-01 1.098260990754802019e-01
7.892128155022539726e-01 1.102204408817635123e-01
7.875751503006011012e-01 1.119815508306662988e-01
7.873494614936572544e-01 1.122244488977955784e-01
7.855711422845690350e-01 1.141365278647917675e-01
7.854857122719937079e-01 1.142284569138276445e-01
7.836241647287381928e-01 1.162324649298596968e-01
7.835671342685369689e-01 1.162939315298759657e-01
7.817662686442510278e-01 1.182364729458917768e-01
7.815631262525049028e-01 1.184553840916734158e-01
7.799079490900470146e-01 1.202404809619238429e-01
7.795591182364728366e-01 1.206163327969994731e-01
7.780492082720624758e-01 1.222444889779558813e-01
7.775551102204407705e-01 1.227767796562002911e-01
7.761900484141959211e-01 1.242484969939879613e-01
7.755511022044085934e-01 1.249367266854046199e-01
7.743304717587745634e-01 1.262525050100200275e-01
7.735470941883766383e-01 1.270961759067488483e-01
7.724704805670317143e-01 1.282565130260520936e-01
7.715430861723446831e-01 1.292551293486058350e-01
7.706100771195973920e-01 1.302605210420841597e-01
7.695390781563125060e-01 1.314135890458202616e-01
7.687492637170006970e-01 1.322645290581162258e-01
7.675350701402805509e-01 1.335715570399490792e-01
7.668880426801856220e-01 1.342685370741482920e-01
7.655310621242484848e-01 1.357290353795090887e-01
7.650264163510428483e-01 1.362725450901803581e-01
7.635270541082164186e-01 1.378860261202283499e-01
7.631643870929510909e-01 1.382765531062124242e-01
7.615230460921843525e-01 1.400425313253055026e-01
7.613019572913375388e-01 1.402805611222444904e-01
7.595190380761522864e-01 1.421985530656760255e-01
7.594391293542513965e-01 1.422845691382765287e-01
7.575789035839124441e-01 1.442885771543085949e-01
7.575150300601202202e-01 1.443574746707321499e-01
7.557221875169874981e-01 1.462925851703406610e-01
7.555110220440881541e-01 1.465203228203850738e-01
7.538650434697655722e-01 1.482965931863727271e-01
7.535070140280559770e-01 1.486826571700686217e-01
7.520074740344795394e-01 1.503006012024047933e-01
7.515030060120240218e-01 1.508444800674800523e-01
7.501494818279209609e-01 1.523046092184368594e-01
7.494989979959919557e-01 1.530057938703087705e-01
7.482910694921003358e-01 1.543086172344689255e-01
7.474949899799598896e-01 1.551666009465882956e-01
7.464322396949276683e-01 1.563126252505009917e-01
7.454909819639278235e-01 1.573269036750595817e-01
7.445729951309110195e-01 1.583166332665330578e-01
7.434869739478957573e-01 1.594867044455426930e-01
7.427133385218759321e-01 1.603206412825651239e-01
7.414829659318636912e-01 1.616460056593190253e-01
7.408532726177032846e-01 1.623246492985971901e-01
7.394789579158316251e-01 1.638048097295229932e-01
7.389928001970914595e-01 1.643286573146292562e-01
7.374749498997995589e-01 1.659631190815459012e-01
7.371319240683362750e-01 1.663326653306613223e-01
7.354709418837674928e-01 1.681209361534486690e-01
7.352706470701366737e-01 1.683366733466933607e-01
7.334669338677354267e-01 1.702782633963871306e-01
7.334089720724228378e-01 1.703406813627254268e-01
7.315511766997708776e-01 1.723446893787574929e-01
7.314629258517033605e-01 1.724399757974893199e-01
7.296959035176242558e-01 1.743486973947895591e-01
7.294589178356712944e-01 1.746045307375828359e-01
7.278402009687316987e-01 1.763527054108216252e-01
7.274549098196392283e-01 1.767685645725753374e-01
7.259840721563457500e-01 1.783567134268536913e-01
7.254509018036072732e-01 1.789320801031636377e-01
7.241275202180681436e-01 1.803607214428857297e-01
7.234468937875750960e-01 1.810950801468347304e-01
7.222705483268174742e-01 1.823647294589178236e-01
7.214428857715429189e-01 1.832575675384337521e-01
7.204131596918275093e-01 1.843687374749498897e-01
7.194388777555109638e-01 1.854195451307492915e-01
7.185553575596743681e-01 1.863727454909819559e-01
7.174348697394788976e-01 1.875810157951149360e-01
7.166971452153362288e-01 1.883767535070140220e-01
7.154308617234468315e-01 1.897419824220296647e-01
7.148385259832846783e-01 1.903807615230461159e-01
7.134268537074147654e-01 1.919024479217950330e-01
7.129795032286101453e-01 1.923847695390781265e-01
7.114228456913826992e-01 1.940624152251719803e-01
7.111200803581820828e-01 1.943887775551101926e-01
7.094188376753506331e-01 1.962218872840573169e-01
7.092602608218456783e-01 1.963927855711422588e-01
7.074148296593185670e-01 1.983808670721808887e-01
7.074000481136569762e-01 1.983967935871743249e-01
7.055462166999726392e-01 2.004008016032063910e-01
7.054108216432865008e-01 2.005471689451991946e-01
7.036927349894211980e-01 2.024048096192384572e-01
7.034068136272544347e-01 2.027138420283476350e-01
7.018388274202296273e-01 2.044088176352705233e-01
7.014028056112223686e-01 2.048799911218943670e-01
6.999844977905800292e-01 2.064128256513025894e-01
6.993987975951903024e-01 2.070456196533184134e-01
6.981297499479536262e-01 2.084168336673346555e-01
6.973947895791582363e-01 2.092107310780493834e-01
6.962745877905950342e-01 2.104208416833667217e-01
6.953907815631261702e-01 2.113753288804033070e-01
6.944190152690260520e-01 2.124248496993987878e-01
6.933867735470941041e-01 2.135394165745532202e-01
6.925630363876109641e-01 2.144288577154308539e-01
6.913827655310620379e-01 2.157029977055263670e-01
6.907066552061704723e-01 2.164328657314629201e-01
6.893787575150299718e-01 2.178660758502370398e-01
6.888498758416519152e-01 2.184368737474949862e-01
6.873747494989979057e-01 2.200286546185479253e-01
6.869927024698534446e-01 2.204408817635270246e-01
6.853707414829658395e-01 2.221907376543717227e-01
6.851351393272097079e-01 2.224448897795590907e-01
6.833667334669337734e-01 2.243523286368037939e-01
